"","x","y","cellType"
"506",180.617021276596,1686.79731243001,"Keratin+ Tumour"
"507",170.885869565217,499.804347826087,"Keratin+ Tumour"
"508",174.745886654479,82.9670932358318,"Keratin+ Tumour"
"509",173.849557522124,161.912979351032,"Keratin+ Tumour"
"510",169.3828125,631.2734375,"Immune"
"512",179.932307692308,1109.55897435897,"Mesenchymal"
"513",175.185654008439,1305.14978902954,"Mesenchymal"
"514",169.674242424242,1989.96212121212,"Immune"
"515",176.005899705015,289.206489675516,"p53+Tumour"
"516",171.933333333333,1396.24,"Immune"
"517",172.914814814815,1518.92222222222,"Keratin+ Tumour"
"518",170.522522522523,2016.38738738739,"Immune"
"519",178.258706467662,135.761194029851,"Keratin+ Tumour"
"520",183.641089108911,268.957920792079,"p53+Tumour"
"522",176.820238095238,1573.11785714286,"Keratin+ Tumour"
"523",174.912109375,54.158203125,"Keratin+ Tumour"
"525",175.698924731183,778.89605734767,"Immune"
"526",176.395638629283,882.878504672897,"Immune"
"527",174.005714285714,922.022857142857,"Immune"
"528",178.8125,1335.86029411765,"Immune"
"529",177.424369747899,1415.02941176471,"Immune"
"530",176.494413407821,307.08938547486,"Keratin+ Tumour"
"531",174.405109489051,953.857664233577,"Immune"
"532",175.310344827586,1480.97701149425,"p53+Tumour"
"533",173.871040723982,1875.28959276018,"Immune"
"534",174.400778210117,2005.34630350195,"Immune"
"536",183.181609195402,571.650574712644,"Immune"
"537",174.729613733906,864.442060085837,"Immune"
"539",181.065789473684,1356.20029239766,"Immune"
"540",177.55652173913,1501.51739130435,"Keratin+ Tumour"
"542",177.048327137546,444.460966542751,"Keratin+ Tumour"
"543",181.216326530612,1853.08571428571,"Immune"
"544",178.22602739726,629.979452054794,"Immune"
"545",184.963015647226,1462.34992887624,"p53+Tumour"
"547",187.098298676749,675.413988657845,"Immune"
"548",180.72027972028,1024.01748251748,"Immune"
"549",184.117391304348,35.4565217391304,"Immune"
"550",181.882608695652,546.217391304348,"Immune"
"552",185.642857142857,933.316326530612,"Immune"
"553",185.212338593974,373.750358680057,"Immune"
"554",181.580838323353,760.125748502994,"Immune"
"555",184.032846715328,904.142335766423,"Immune"
"557",188.975530179445,112.915171288744,"Keratin+ Tumour"
"558",186.684931506849,331.986301369863,"Immune"
"559",189.622030237581,490.023758099352,"Keratin+ Tumour"
"561",185.317679558011,825.038674033149,"Immune"
"563",184.065714285714,1991.32285714286,"Immune"
